"","Name","Treatment","Linage","15","43","Sig15","Sig43","Strategy"
"1","606P","Ancestor",606,0,0,0,0,"Other"
"2","607P","Ancestor",607,0,0,0,0,"Other"
"3","R606-1","Random",606,-1,1,0.627529994182001,0.120020681176518,"Other"
"4","R606-2","Random",606,-1,1.19466057113596,0.149462825710165,0.0109718961778448,"Specialist"
"5","R606-3","Random",606,-1,1,0.585833141986342,0.196930896415266,"Other"
"6","R606-4","Random",606,-1,1.18056033952828,0.321772901355538,0.0154416711463835,"Specialist"
"7","F606-1","Fast",606,-1,1.24988030487315,0.573765556453591,0.00892074226103454,"Specialist"
"8","F606-2","Fast",606,-1.22113596604555,1.4521672158498,0.065949121636259,0.00127140734089577,"Generalist"
"9","F606-3","Fast",606,-1,1.33282332801025,0.438206508877518,0.000906913627316844,"Specialist"
"10","F606-4","Fast",606,-1.43879066297009,1.13729404098806,0.0104828433233328,0.0609585899757908,"Generalist"
"11","S606-1","Slow",606,-1,1.22566223296099,0.0764499936817875,0.02972121343117,"Specialist"
"12","S606-2","Slow",606,-0.629746070837009,1.39148023207651,0.0018997853699203,0.0282502492984997,"Specialist"
"13","S606-3","Slow",606,-1.15922075168087,1,0.00732344112288679,0.0974212219499152,"Specialist"
"14","S606-4","Slow",606,-1.14713036536231,1.16600724047922,0.0408976727056741,0.0120817330780126,"Generalist"
"15","R607-1","Random",607,-1.11012196536057,1.81066827625713,0.00539552442299005,0.000243535929328924,"Generalist"
"16","R607-2","Random",607,-1,1.08588782549483,0.734842400522196,0.00523406873157742,"Specialist"
"17","R607-3","Random",607,-1,1.21309088491076,0.0968975550848905,0.00135273832159145,"Specialist"
"18","R607-4","Random",607,-1,1.44548287030265,0.563684507914804,0.0228562762906931,"Specialist"
"19","F607-1","Fast",607,-1.26034913506847,1.34559306396805,0.0360424502394106,0.00115952491155456,"Generalist"
"20","F607-2","Fast",607,-1.23158660383922,1.44573953532707,0.00307083517934389,0.0038585510563243,"Generalist"
"21","F607-3","Fast",607,-1.29741838229868,1.15600914566011,0.00027222365867201,0.020267325061397,"Generalist"
"22","F607-4","Fast",607,-1,1.08408750994823,0.331251936453253,0.0284852236738122,"Specialist"
"23","S607-1","Slow",607,-1.85617742857853,1.34985681313045,0.000364842734576325,0.0131964991900809,"Generalist"
"24","S607-2","Slow",607,-0.637440015912877,1.63538676814389,0.00144278060875447,0.00622879331968693,"Specialist"
"25","S607-3","Slow",607,-1.34782068176732,1.63468648486921,0.0033494179972128,0.00164063458981843,"Generalist"
"26","S607-4","Slow",607,-1.317481787215,1.60662435174104,0.0112169846249344,0.00179836045554118,"Generalist"
