Population,Date Stopped,43 Generations,15 Generations,Total Generations,43 Gens to 15 Gens Proportion,Avg. 15C for regime and background:,Avg. 43C for regime and background:,Evol.Strategy,AverageTotalForStrategy
F606-1,9/13/2016,254.44,230.05,484.49,1.11,278.2225,269.225,Specialist,602.6091667
F606-2,9/7/2016,358.57,348.2,706.77,1.03,,,Generalist,591.983
F606-3,9/8/2016,307.57,264.52,572.09,1.16,,,Specialist,
F606-4,7/16/2016,160.99,151.89,312.88,1.06,,,Generalist,
F607-1,9/11/2016,166.37,172.71,339.08,0.96,260.0125,314.335,Generalist,
F607-2,9/12/2016,297.71,285.08,582.79,1.04,,,Generalist,
F607-3,9/10/2016,328.96,214.24,543.2,1.54,,,Generalist,
F607-4,7/17/2016,168.49,174.18,342.67,0.97,,,Specialist,
R606-1,9/9/2016,419.3,327.41,746.71,1.28,288.1875,337.465,Other,723.015
R606-2,9/9/2016,346.4,444.14,790.54,0.78,,,Specialist,
R606-3,9/13/2016,368.55,330.77,699.32,1.11,,,Other,
R606-4,9/8/2016,496.08,185.65,681.73,2.67,,,Specialist,
R607-1,9/9/2016,464.3,368.02,832.32,1.26,325.4675,360.1975,Generalist,
R607-2,9/9/2016,442.64,315.12,757.76,1.4,,,Specialist,
R607-3,9/9/2016,581.39,170.02,751.41,3.42,,,Specialist,
R607-4,9/9/2016,551.35,185.42,736.77,2.97,,,Specialist,
S606-1,9/7/2016,337.53,328.86,666.39,1.03,261.2525,267.21,Specialist,
S606-2,7/23/2016,255.09,240.76,495.85,1.06,,,Specialist,
S606-3,9/9/2016,257.37,250.57,507.94,1.03,,,Specialist,
S606-4,8/14/2016,288.2,300.75,588.95,0.96,,,Generalist,
S607-1,9/9/2016,328.65,331.3,659.95,0.99,323.945,366.1925,Generalist,
S607-2,8/7/2016,218.85,224.82,443.67,0.97,,,Specialist,
S607-3,9/9/2016,359.64,301.8,661.44,1.19,,,Generalist,
S607-4,9/14/2016,357.18,335.27,692.45,1.07,,,Generalist,
